Entry_ID,Source_Organism,Accession_Code
4D0M,Homo sapiens,"('Q9UBF8', 'O75154')"
4D0M,Homo sapiens,"('P62491', 'O75154')"
4D9R,Homo sapiens,"('P00746', 'P01834')"
4D9R,Homo sapiens,"('P00746', 'P01857')"
4D9R,Homo sapiens,"('P01834', 'P01857')"
4DAY,Homo sapiens,"('Q9H9A7', 'Q96E14')"
4DAY,Homo sapiens,"('Q9H9A7', 'Q8IYD8')"
4DAY,Homo sapiens,"('Q96E14', 'Q8IYD8')"
4DCK,Homo sapiens,"('Q14524', 'P0DP23')"
4DCK,Homo sapiens,"('Q14524', 'Q92913')"
4DCK,Homo sapiens,"('P0DP23', 'Q92913')"
4DEP,Homo sapiens,"('P01584', 'P14778')"
4DEP,Homo sapiens,"('P01584', 'Q9NPH3')"
4DEP,Homo sapiens,"('P14778', 'Q9NPH3')"
4DHZ,Homo sapiens,"('Q96FW1, Q9XVR6', 'P0CG48')"
4DHZ,Homo sapiens,"('Q96FW1, Q9XVR6', 'P61088')"
4DHZ,Homo sapiens,"('P0CG48', 'P61088')"
4DOH,Homo sapiens,"('Q9NYY1', 'Q6UXL0')"
4DOH,Homo sapiens,"('Q9NYY1', 'Q9UHF4')"
4DOH,Homo sapiens,"('Q6UXL0', 'Q9UHF4')"
4DRB,Homo sapiens,"('Q8N2Z9', 'Q8IYD8')"
4DRB,Homo sapiens,"('Q8N2Z9', 'A8MT69')"
4DRB,Homo sapiens,"('Q8IYD8', 'A8MT69')"
4EUP,Homo sapiens,"('P04439', 'P61769')"
4EUP,Homo sapiens,"('P04439', 'Q16655')"
4EUP,Homo sapiens,"('P61769', 'Q16655')"
4EXT,Homo sapiens,"('Q9UBZ9', 'O60673')"
4EXT,Homo sapiens,"('Q9UBZ9', 'Q9UI95')"
4EXT,Homo sapiens,"('O60673', 'Q9UI95')"
4F52,Homo sapiens,"('Q13616', 'P62877')"
4F52,Homo sapiens,"('Q13616', 'Q92990')"
4F52,Homo sapiens,"('P62877', 'Q92990')"
4FAO,Homo sapiens,"('Q9UK05', 'P37023')"
4FAO,Homo sapiens,"('Q9UK05', 'Q13705')"
4FAO,Homo sapiens,"('P37023', 'Q13705')"
4FTG,Homo sapiens,"('P60903', 'P07355')"
4FTG,Homo sapiens,"('P60903', 'Q09666')"
4FTG,Homo sapiens,"('P07355', 'Q09666')"
4FTV,Homo sapiens,"('P04439', 'P61769')"
4FTV,Homo sapiens,"('P04439', 'P0C213')"
4FTV,Homo sapiens,"('P61769', 'P0C213')"
4G9F,Homo sapiens,"('P01889', 'P61769')"
4G9F,Homo sapiens,"('P01889', 'P03366')"
4G9F,Homo sapiens,"('P61769', 'P03366')"
4GDK,Homo sapiens,"('O94817', 'Q9H1Y0')"
4GDK,Homo sapiens,"('O94817', 'Q676U5')"
4GDK,Homo sapiens,"('Q9H1Y0', 'Q676U5')"
4GDL,Homo sapiens,"('O94817', 'Q9H1Y0')"
4GDL,Homo sapiens,"('O94817', 'Q676U5')"
4GDL,Homo sapiens,"('Q9H1Y0', 'Q676U5')"
4GK0,Homo sapiens,"('Q9UI95', 'O60673')"
4GK0,Homo sapiens,"('Q9UI95', 'Q9UBZ9')"
4GK0,Homo sapiens,"('O60673', 'Q9UBZ9')"
4GQB,Homo sapiens,"('O14744', 'Q9BQA1')"
4GQB,Homo sapiens,"('O14744', 'P62805')"
4GQB,Homo sapiens,"('Q9BQA1', 'P62805')"
4GUR,Homo sapiens,"('Q8NB78', 'Q49A26')"
4GUR,Homo sapiens,"('Q8NB78', 'P84243')"
4GUR,Homo sapiens,"('Q49A26', 'P84243')"
4GUS,Homo sapiens,"('Q8NB78', 'Q49A26')"
4GUS,Homo sapiens,"('Q8NB78', 'P84243')"
4GUS,Homo sapiens,"('Q49A26', 'P84243')"
4H9N,Homo sapiens,"('P84243', 'P62805')"
4H9N,Homo sapiens,"('P84243', 'Q9UER7')"
4H9N,Homo sapiens,"('P62805', 'Q9UER7')"
4H9O,Homo sapiens,"('P84243', 'P62805')"
4H9O,Homo sapiens,"('P84243', 'Q9UER7')"
4H9O,Homo sapiens,"('P62805', 'Q9UER7')"
4H9P,Homo sapiens,"('P84243', 'P62805')"
4H9P,Homo sapiens,"('P84243', 'Q9UER7')"
4H9P,Homo sapiens,"('P62805', 'Q9UER7')"
4H9Q,Homo sapiens,"('P84243', 'P62805')"
4H9Q,Homo sapiens,"('P84243', 'Q9UER7')"
4H9Q,Homo sapiens,"('P62805', 'Q9UER7')"
4H9R,Homo sapiens,"('P84243', 'P62805')"
4H9R,Homo sapiens,"('P84243', 'Q9UER7')"
4H9R,Homo sapiens,"('P62805', 'Q9UER7')"
4H9S,Homo sapiens,"('P84243', 'P62805')"
4H9S,Homo sapiens,"('P84243', 'Q9UER7')"
4H9S,Homo sapiens,"('P62805', 'Q9UER7')"
4HDQ,Homo sapiens,"('O00522', 'P61224')"
4HDQ,Homo sapiens,"('O00522', 'Q9ULI3')"
4HDQ,Homo sapiens,"('P61224', 'Q9ULI3')"
4HGA,Homo sapiens,"('Q9UER7', 'P84243')"
4HGA,Homo sapiens,"('Q9UER7', 'P62805')"
4HGA,Homo sapiens,"('P84243', 'P62805')"
4HIX,Homo sapiens,"('P01857', 'P05067')"
4HIX,Homo sapiens,"('P01857', 'P01834')"
4HIX,Homo sapiens,"('P05067', 'P01834')"
4HMY,Homo sapiens,"('Q10567', 'Q96PC3')"
4HMY,Homo sapiens,"('Q10567', 'P84077')"
4HMY,Homo sapiens,"('Q96PC3', 'P84077')"
4HX1,Homo sapiens,"('P04439', 'P61769')"
4HX1,Homo sapiens,"('P04439', 'P40126')"
4HX1,Homo sapiens,"('P61769', 'P40126')"
4I5L,Homo sapiens,"('P30153', 'Q9Y5P8, Q99741')"
4I5L,Homo sapiens,"('P30153', 'P67775')"
4I5L,Homo sapiens,"('Q9Y5P8, Q99741', 'P67775')"
4I5N,Homo sapiens,"('P30153', 'Q9Y5P8, Q99741')"
4I5N,Homo sapiens,"('P30153', 'P67775')"
4I5N,Homo sapiens,"('Q9Y5P8, Q99741', 'P67775')"
4IMY,Homo sapiens,"('P50750', 'O60563')"
4IMY,Homo sapiens,"('P50750', 'Q9UHB7')"
4IMY,Homo sapiens,"('O60563', 'Q9UHB7')"
4IS6,Homo sapiens,"('P01903', 'P40967')"
4IS6,Homo sapiens,"('P01903', 'P01911')"
4IS6,Homo sapiens,"('P40967', 'P01911')"
4JPZ,Homo sapiens,"('Q92913', 'Q99250')"
4JPZ,Homo sapiens,"('Q92913', 'P0DP23')"
4JPZ,Homo sapiens,"('Q99250', 'P0DP23')"
4JQ0,Homo sapiens,"('Q14524', 'P61328')"
4JQ0,Homo sapiens,"('Q14524', 'P0DP23')"
4JQ0,Homo sapiens,"('P61328', 'P0DP23')"
4K24,Homo sapiens,"('P00749', 'P04004')"
4K24,Homo sapiens,"('P00749', 'Q03405')"
4K24,Homo sapiens,"('P04004', 'Q03405')"
4K3J,Homo sapiens,"('Q03405', 'P14210')"
4K3J,Homo sapiens,"('Q03405', 'P08581')"
4K3J,Homo sapiens,"('P14210', 'P08581')"
4K71,Homo sapiens,"('P02768', 'P55899')"
4K71,Homo sapiens,"('P02768', 'P61769')"
4K71,Homo sapiens,"('P55899', 'P61769')"
4KNG,Homo sapiens,"('O75473', 'Q2MKA7')"
4KNG,Homo sapiens,"('O75473', 'Q68DV7')"
4KNG,Homo sapiens,"('Q2MKA7', 'Q68DV7')"
4L3E,Homo sapiens,"('P04439', 'P61769')"
4L3E,Homo sapiens,"('P04439', 'Q16655')"
4L3E,Homo sapiens,"('P61769', 'Q16655')"
4L4T,Homo sapiens,"('Q95460', 'P61769')"
4L4T,Homo sapiens,"('Q95460', 'P01850')"
4L4T,Homo sapiens,"('P61769', 'P01850')"
4LAC,Homo sapiens,"('Q15257', 'P30153')"
4LAC,Homo sapiens,"('Q15257', 'P67775')"
4LAC,Homo sapiens,"('P30153', 'P67775')"
4LDT,Homo sapiens,"('Q96FW1, Q9XVR6', 'P0CG48')"
4LDT,Homo sapiens,"('Q96FW1, Q9XVR6', 'P62837')"
4LDT,Homo sapiens,"('P0CG48', 'P62837')"
4MCY,Homo sapiens,"('P01903', 'P01911')"
4MCY,Homo sapiens,"('P01903', 'P08670')"
4MCY,Homo sapiens,"('P01911', 'P08670')"
4MCZ,Homo sapiens,"('P01903', 'P01911')"
4MCZ,Homo sapiens,"('P01903', 'P08670')"
4MCZ,Homo sapiens,"('P01911', 'P08670')"
4MD0,Homo sapiens,"('P01903', 'P01911')"
4MD0,Homo sapiens,"('P01903', 'P08670')"
4MD0,Homo sapiens,"('P01911', 'P08670')"
4MD4,Homo sapiens,"('P01903', 'P01911')"
4MD4,Homo sapiens,"('P01903', 'P16112')"
4MD4,Homo sapiens,"('P01911', 'P16112')"
4MD5,Homo sapiens,"('P01903', 'P01911')"
4MD5,Homo sapiens,"('P01903', 'P08670')"
4MD5,Homo sapiens,"('P01911', 'P08670')"
4MDI,Homo sapiens,"('P01903', 'P01911')"
4MDI,Homo sapiens,"('P01903', 'P08670')"
4MDI,Homo sapiens,"('P01911', 'P08670')"
4MDJ,Homo sapiens,"('P01903', 'P01911')"
4MDJ,Homo sapiens,"('P01903', 'P08670')"
4MDJ,Homo sapiens,"('P01911', 'P08670')"
4MMX,Homo sapiens,"('P06756', 'P02751')"
4MMX,Homo sapiens,"('P06756', 'P05106')"
4MMX,Homo sapiens,"('P02751', 'P05106')"
4MMY,Homo sapiens,"('P06756', 'P05106')"
4MMY,Homo sapiens,"('P06756', 'P02751')"
4MMY,Homo sapiens,"('P05106', 'P02751')"
4MMZ,Homo sapiens,"('P05106', 'P02751')"
4MMZ,Homo sapiens,"('P05106', 'P06756')"
4MMZ,Homo sapiens,"('P02751', 'P06756')"
4MQW,Homo sapiens,"('P01215', 'P01225')"
4MQW,Homo sapiens,"('P01215', 'P23945')"
4MQW,Homo sapiens,"('P01225', 'P23945')"
4MXW,Homo sapiens,"('P36941', 'P01374')"
4MXW,Homo sapiens,"('P36941', 'Q06643')"
4MXW,Homo sapiens,"('P01374', 'Q06643')"
4N0F,Homo sapiens,"('P55899', 'P61769')"
4N0F,Homo sapiens,"('P55899', 'P02768')"
4N0F,Homo sapiens,"('P61769', 'P02768')"
4N8V,Homo sapiens,"('P43631', 'P04439')"
4N8V,Homo sapiens,"('P43631', 'P61769')"
4N8V,Homo sapiens,"('P04439', 'P61769')"
4NKQ,Homo sapiens,"('P32927', 'P04141')"
4NKQ,Homo sapiens,"('P32927', 'P15509')"
4NKQ,Homo sapiens,"('P04141', 'P15509')"
4NM5,Homo sapiens,"('P49841', 'O15169')"
4NM5,Homo sapiens,"('P49841', 'O75581')"
4NM5,Homo sapiens,"('O15169', 'O75581')"
4NM7,Homo sapiens,"('P49841', 'O15169')"
4NM7,Homo sapiens,"('P49841', 'O75581')"
4NM7,Homo sapiens,"('O15169', 'O75581')"
4NNX,Homo sapiens,"('P04439', 'P61769')"
4NNX,Homo sapiens,"('P04439', 'Q9BZL6')"
4NNX,Homo sapiens,"('P61769', 'Q9BZL6')"
4NNY,Homo sapiens,"('P04439', 'P61769')"
4NNY,Homo sapiens,"('P04439', 'Q9BZL6')"
4NNY,Homo sapiens,"('P61769', 'Q9BZL6')"
4NO2,Homo sapiens,"('P04439', 'P61769')"
4NO2,Homo sapiens,"('P04439', 'P33241')"
4NO2,Homo sapiens,"('P61769', 'P33241')"
4NO3,Homo sapiens,"('P04439', 'P61769')"
4NO3,Homo sapiens,"('P04439', 'Q01433')"
4NO3,Homo sapiens,"('P61769', 'Q01433')"
4NO5,Homo sapiens,"('P04439', 'P61769')"
4NO5,Homo sapiens,"('P04439', 'Q01433')"
4NO5,Homo sapiens,"('P61769', 'Q01433')"
4NQA,Homo sapiens,"('P19793', 'P55055')"
4NQA,Homo sapiens,"('P19793', 'Q15596')"
4NQA,Homo sapiens,"('P55055', 'Q15596')"
4O2C,Homo sapiens,"('P01889', 'P61769')"
4O2C,Homo sapiens,"('P01889', 'O00571')"
4O2C,Homo sapiens,"('P61769', 'O00571')"
4O2E,Homo sapiens,"('P01889', 'P61769')"
4O2E,Homo sapiens,"('P01889', 'O00571')"
4O2E,Homo sapiens,"('P61769', 'O00571')"
4O2F,Homo sapiens,"('P01889', 'P61769')"
4O2F,Homo sapiens,"('P01889', 'O00571')"
4O2F,Homo sapiens,"('P61769', 'O00571')"
4OGR,Homo sapiens,"('P50750', 'O60563')"
4OGR,Homo sapiens,"('P50750', 'Q9UHB7')"
4OGR,Homo sapiens,"('O60563', 'Q9UHB7')"
4OGX,Homo sapiens,"('P03952', 'S6C4R2')"
4OGX,Homo sapiens,"('P03952', 'Q7Z3Y4')"
4OGX,Homo sapiens,"('S6C4R2', 'Q7Z3Y4')"
4OGY,Homo sapiens,"('P03952', 'S6C4R2')"
4OGY,Homo sapiens,"('P03952', 'Q7Z3Y4')"
4OGY,Homo sapiens,"('S6C4R2', 'Q7Z3Y4')"
4OQT,Homo sapiens,"('Q96FE5', 'Q6PIL8')"
4OQT,Homo sapiens,"('Q96FE5', 'S6B291')"
4OQT,Homo sapiens,"('Q6PIL8', 'S6B291')"
4OR5,Homo sapiens,"('P50750', 'O60563')"
4OR5,Homo sapiens,"('P50750', 'Q9UHB7')"
4OR5,Homo sapiens,"('O60563', 'Q9UHB7')"
4ORH,Homo sapiens,"('P61088', 'Q15819')"
4ORH,Homo sapiens,"('P61088', 'O76064')"
4ORH,Homo sapiens,"('Q15819', 'O76064')"
4OV5,Homo sapiens,"('P01903', 'P04439')"
4OV5,Homo sapiens,"('P01903', 'P01911')"
4OV5,Homo sapiens,"('P04439', 'P01911')"
4OWT,Homo sapiens,"('Q68E01', 'Q9BQ15')"
4OWT,Homo sapiens,"('Q68E01', 'Q9NRY2')"
4OWT,Homo sapiens,"('Q9BQ15', 'Q9NRY2')"
4OWW,Homo sapiens,"('Q9NRY2', 'Q68E01')"
4OWW,Homo sapiens,"('Q9NRY2', 'Q9BQ15')"
4OWW,Homo sapiens,"('Q68E01', 'Q9BQ15')"
4P4H,Homo sapiens,"('P62987', 'O95786')"
4P4H,Homo sapiens,"('P62987', 'Q7Z434')"
4P4H,Homo sapiens,"('O95786', 'Q7Z434')"
4P6Z,Homo sapiens,"('P61966', 'Q10567')"
4P6Z,Homo sapiens,"('P61966', 'Q10589')"
4P6Z,Homo sapiens,"('Q10567', 'Q10589')"
4Q9U,Homo sapiens,"('Q9UJ41', 'P20339')"
4Q9U,Homo sapiens,"('Q9UJ41', 'Q15276')"
4Q9U,Homo sapiens,"('P20339', 'Q15276')"
4QOK,Homo sapiens,"('P04439', 'P61769')"
4QOK,Homo sapiens,"('P04439', 'Q16655')"
4QOK,Homo sapiens,"('P61769', 'Q16655')"
4QRP,Homo sapiens,"('P01889', 'P61769')"
4QRP,Homo sapiens,"('P01889', 'X2G898')"
4QRP,Homo sapiens,"('P61769', 'X2G898')"
4R2G,Homo sapiens,"('P01730', 'P0DOY3')"
4R2G,Homo sapiens,"('P01730', 'P0DOX5')"
4R2G,Homo sapiens,"('P0DOY3', 'P0DOX5')"
4R3Z,Homo sapiens,"('Q12904', 'P54136')"
4R3Z,Homo sapiens,"('Q12904', 'P47897')"
4R3Z,Homo sapiens,"('P54136', 'P47897')"
4RER,Homo sapiens,"('Q13131', 'O43741')"
4RER,Homo sapiens,"('Q13131', 'P54619')"
4RER,Homo sapiens,"('O43741', 'P54619')"
4REW,Homo sapiens,"('Q13131', 'O43741')"
4REW,Homo sapiens,"('Q13131', 'P54619')"
4REW,Homo sapiens,"('O43741', 'P54619')"
4S3O,Homo sapiens,"('P61077', 'Q99496')"
4S3O,Homo sapiens,"('P61077', 'Q86SE9')"
4S3O,Homo sapiens,"('Q99496', 'Q86SE9')"
4TXR,Homo sapiens,"('Q7LBR1', 'Q9NP79')"
4TXR,Homo sapiens,"('Q7LBR1', 'Q9NZZ3')"
4TXR,Homo sapiens,"('Q9NP79', 'Q9NZZ3')"
4U7T,Homo sapiens,"('Q9Y6K1', 'Q9UJW3')"
4U7T,Homo sapiens,"('Q9Y6K1', 'P84243')"
4U7T,Homo sapiens,"('Q9UJW3', 'P84243')"
4UEL,Homo sapiens,"('Q9Y5K5', 'P0CG47')"
4UEL,Homo sapiens,"('Q9Y5K5', 'Q16186')"
4UEL,Homo sapiens,"('P0CG47', 'Q16186')"
4UF6,Homo sapiens,"('Q6P4R8', 'Q9Y5K5')"
4UF6,Homo sapiens,"('Q6P4R8', 'P0CG47')"
4UF6,Homo sapiens,"('Q9Y5K5', 'P0CG47')"
4UFS,Homo sapiens,"('O75473', 'Q8BFU0')"
4UFS,Homo sapiens,"('O75473', 'Q9ULT6')"
4UFS,Homo sapiens,"('Q8BFU0', 'Q9ULT6')"
4UI2,Homo sapiens,"('Q92859', 'P12643')"
4UI2,Homo sapiens,"('Q92859', 'Q6NW40')"
4UI2,Homo sapiens,"('P12643', 'Q6NW40')"
4UIS,Homo sapiens,"('Q92542', 'D9IEF7')"
4UIS,Homo sapiens,"('Q92542', 'P49768')"
4UIS,Homo sapiens,"('D9IEF7', 'P49768')"
4UJ3,Homo sapiens,"('P62491', 'Q96QF0')"
4UJ3,Homo sapiens,"('P62491', 'O75154')"
4UJ3,Homo sapiens,"('Q96QF0', 'O75154')"
4UJ4,Homo sapiens,"('P62491', 'Q96QF0')"
4UJ4,Homo sapiens,"('P62491', 'O75154')"
4UJ4,Homo sapiens,"('Q96QF0', 'O75154')"
4UM9,Homo sapiens,"('P06756', 'P18564')"
4UM9,Homo sapiens,"('P06756', 'P10600')"
4UM9,Homo sapiens,"('P18564', 'P10600')"
4V3K,Homo sapiens,"('P62837', 'Q9H0F5')"
4V3K,Homo sapiens,"('P62837', 'P0CG48')"
4V3K,Homo sapiens,"('Q9H0F5', 'P0CG48')"
4V3L,Homo sapiens,"('P62837', 'P0CG48')"
4V3L,Homo sapiens,"('P62837', 'Q9H0F5')"
4V3L,Homo sapiens,"('P0CG48', 'Q9H0F5')"
4W9C,Homo sapiens,"('Q15369', 'Q15370')"
4W9C,Homo sapiens,"('Q15369', 'P40337')"
4W9C,Homo sapiens,"('Q15370', 'P40337')"
4W9D,Homo sapiens,"('Q15370', 'Q15369')"
4W9D,Homo sapiens,"('Q15370', 'P40337')"
4W9D,Homo sapiens,"('Q15369', 'P40337')"
4W9E,Homo sapiens,"('Q15370', 'Q15369')"
4W9E,Homo sapiens,"('Q15370', 'P40337')"
4W9E,Homo sapiens,"('Q15369', 'P40337')"
4W9F,Homo sapiens,"('Q15370', 'Q15369')"
4W9F,Homo sapiens,"('Q15370', 'P40337')"
4W9F,Homo sapiens,"('Q15369', 'P40337')"
4W9G,Homo sapiens,"('Q15370', 'Q15369')"
4W9G,Homo sapiens,"('Q15370', 'P40337')"
4W9G,Homo sapiens,"('Q15369', 'P40337')"
4W9H,Homo sapiens,"('Q15370', 'Q15369')"
4W9H,Homo sapiens,"('Q15370', 'P40337')"
4W9H,Homo sapiens,"('Q15369', 'P40337')"
4W9I,Homo sapiens,"('Q15370', 'Q15369')"
4W9I,Homo sapiens,"('Q15370', 'P40337')"
4W9I,Homo sapiens,"('Q15369', 'P40337')"
4W9J,Homo sapiens,"('Q15369', 'P40337')"
4W9J,Homo sapiens,"('Q15369', 'Q15370')"
4W9J,Homo sapiens,"('P40337', 'Q15370')"
4W9K,Homo sapiens,"('Q15369', 'Q15370')"
4W9K,Homo sapiens,"('Q15369', 'P40337')"
4W9K,Homo sapiens,"('Q15370', 'P40337')"
4W9L,Homo sapiens,"('Q15369', 'Q15370')"
4W9L,Homo sapiens,"('Q15369', 'P40337')"
4W9L,Homo sapiens,"('Q15370', 'P40337')"
4WHV,Homo sapiens,"('P61088', 'O76064')"
4WHV,Homo sapiens,"('P61088', 'P0CG47')"
4WHV,Homo sapiens,"('O76064', 'P0CG47')"
4WJ5,Homo sapiens,"('P04439', 'P61769')"
4WJ5,Homo sapiens,"('P04439', 'Q16655')"
4WJ5,Homo sapiens,"('P61769', 'Q16655')"
4WJG,Homo sapiens,"('P69905', 'P68871')"
4WJG,Homo sapiens,"('P69905', 'P00738')"
4WJG,Homo sapiens,"('P68871', 'P00738')"
4WUU,Homo sapiens,"('P04439', 'P61769')"
4WUU,Homo sapiens,"('P04439', 'P19544')"
4WUU,Homo sapiens,"('P61769', 'P19544')"
4WY4,Homo sapiens,"('Q9BV40', 'P56962')"
4WY4,Homo sapiens,"('Q9BV40', 'O95721')"
4WY4,Homo sapiens,"('P56962', 'O95721')"
4X0L,Homo sapiens,"('P69905', 'P68871')"
4X0L,Homo sapiens,"('P69905', 'P00738')"
4X0L,Homo sapiens,"('P68871', 'P00738')"
4X5W,Homo sapiens,"('P01903', 'P01911')"
4X5W,Homo sapiens,"('P01903', 'P04233')"
4X5W,Homo sapiens,"('P01911', 'P04233')"
4XSS,Homo sapiens,"('P05019', 'P06213')"
4XSS,Homo sapiens,"('P05019', 'P08069')"
4XSS,Homo sapiens,"('P06213', 'P08069')"
4XXD,Homo sapiens,"('P01834', 'P05067')"
4XXD,Homo sapiens,"('P01834', 'P01857')"
4XXD,Homo sapiens,"('P05067', 'P01857')"
4Y19,Homo sapiens,"('P01903', 'P01911')"
4Y19,Homo sapiens,"('P01903', 'P01308')"
4Y19,Homo sapiens,"('P01911', 'P01308')"
4Y1A,Homo sapiens,"('P01903', 'P01911')"
4Y1A,Homo sapiens,"('P01903', 'P01308')"
4Y1A,Homo sapiens,"('P01911', 'P01308')"
4Y72,Homo sapiens,"('P06493', 'P14635')"
4Y72,Homo sapiens,"('P06493', 'P33552')"
4Y72,Homo sapiens,"('P14635', 'P33552')"
4Y99,Homo sapiens,"('P63316', 'P45379')"
4Y99,Homo sapiens,"('P63316', 'P19429')"
4Y99,Homo sapiens,"('P45379', 'P19429')"
4YC3,Homo sapiens,"('P06493', 'P14635')"
4YC3,Homo sapiens,"('P06493', 'P33552')"
4YC3,Homo sapiens,"('P14635', 'P33552')"
4Z2M,Homo sapiens,"('Q9Y5B9', 'P68431')"
4Z2M,Homo sapiens,"('Q9Y5B9', 'P62805')"
4Z2M,Homo sapiens,"('P68431', 'P62805')"
4ZHX,Homo sapiens,"('P54646', 'Q9Y478')"
4ZHX,Homo sapiens,"('P54646', 'P54619')"
4ZHX,Homo sapiens,"('Q9Y478', 'P54619')"
4ZO1,Homo sapiens,"('P10828', 'Q15596')"
4ZO1,Homo sapiens,"('P10828', 'P19793')"
4ZO1,Homo sapiens,"('Q15596', 'P19793')"
5.00E+00,Homo sapiens,"('P04439', 'P61769')"
5.00E+00,Homo sapiens,"('P04439', 'Q76R61')"
5.00E+00,Homo sapiens,"('P61769', 'Q76R61')"
5ANR,Homo sapiens,"('A5YKK6', 'P26196')"
5ANR,Homo sapiens,"('A5YKK6', 'Q9NRA8')"
5ANR,Homo sapiens,"('P26196', 'Q9NRA8')"
5BNV,Homo sapiens,"('P84243', 'P62805')"
5BNV,Homo sapiens,"('P84243', 'P49736')"
5BNV,Homo sapiens,"('P62805', 'P49736')"
5BO4,Homo sapiens,"('O14508', 'Q15370')"
5BO4,Homo sapiens,"('O14508', 'Q15369')"
5BO4,Homo sapiens,"('Q15370', 'Q15369')"
5C0D,Homo sapiens,"('P04439', 'P61769')"
5C0D,Homo sapiens,"('P04439', 'P01308')"
5C0D,Homo sapiens,"('P61769', 'P01308')"
5C7K,Homo sapiens,"('S6B291', 'P01857')"
5C7K,Homo sapiens,"('S6B291', 'P01834')"
5C7K,Homo sapiens,"('P01857', 'P01834')"
5CBA,Homo sapiens,"('A0A0B4J2H0', 'P01704')"
5CBA,Homo sapiens,"('A0A0B4J2H0', 'O43927')"
5CBA,Homo sapiens,"('P01704', 'O43927')"
5CBE,Homo sapiens,"('A0A0B4J2H0', 'P01704')"
5CBE,Homo sapiens,"('A0A0B4J2H0', 'O43927')"
5CBE,Homo sapiens,"('P01704', 'O43927')"
5CTD,Homo sapiens,"('Q14055, P08123', 'P02452, Q14050')"
5CTD,Homo sapiens,"('Q14055, P08123', 'P02452, P20849')"
5CTD,Homo sapiens,"('P02452, Q14050', 'P02452, P20849')"
5CTI,Homo sapiens,"('P02452, P20849', 'Q14055, P08123')"
5CTI,Homo sapiens,"('P02452, P20849', 'P02452, Q14050')"
5CTI,Homo sapiens,"('Q14055, P08123', 'P02452, Q14050')"
5CVA,Homo sapiens,"('P20849, P08123', 'Q14055, P02452')"
5CVA,Homo sapiens,"('P20849, P08123', 'Q14050, P02452')"
5CVA,Homo sapiens,"('Q14055, P02452', 'Q14050, P02452')"
5CVB,Homo sapiens,"('P20849, P02452', 'P02452, Q14055')"
5CVB,Homo sapiens,"('P20849, P02452', 'P02452, Q14050')"
5CVB,Homo sapiens,"('P02452, Q14055', 'P02452, Q14050')"
5CVN,Homo sapiens,"('Q8TAF3', 'P62068')"
5CVN,Homo sapiens,"('Q8TAF3', 'P0CG47')"
5CVN,Homo sapiens,"('P62068', 'P0CG47')"
5CVO,Homo sapiens,"('Q8TAF3', 'P0CG47')"
5CVO,Homo sapiens,"('Q8TAF3', 'P62068')"
5CVO,Homo sapiens,"('P0CG47', 'P62068')"
5D0K,Homo sapiens,"('P62837', 'Q6ZSG1')"
5D0K,Homo sapiens,"('P62837', 'P0CG47')"
5D0K,Homo sapiens,"('Q6ZSG1', 'P0CG47')"
5D0M,Homo sapiens,"('P62837', 'Q6ZSG1')"
5D0M,Homo sapiens,"('P62837', 'P0CG47')"
5D0M,Homo sapiens,"('Q6ZSG1', 'P0CG47')"
5D2N,Homo sapiens,"('Q9Y4E5', 'P04439')"
5D2N,Homo sapiens,"('Q9Y4E5', 'P61769')"
5D2N,Homo sapiens,"('P04439', 'P61769')"
5DEF,Homo sapiens,"('P01889', 'P61769')"
5DEF,Homo sapiens,"('P01889', 'P32241')"
5DEF,Homo sapiens,"('P61769', 'P32241')"
5DEG,Homo sapiens,"('P01889', 'P61769')"
5DEG,Homo sapiens,"('P01889', 'P32241')"
5DEG,Homo sapiens,"('P61769', 'P32241')"
5E4E,Homo sapiens,"('P35225', 'P24394')"
5E4E,Homo sapiens,"('P35225', 'P78552')"
5E4E,Homo sapiens,"('P24394', 'P78552')"
5E6I,Homo sapiens,"('K7N5M3', 'P04439')"
5E6I,Homo sapiens,"('K7N5M3', 'P61769')"
5E6I,Homo sapiens,"('P04439', 'P61769')"
5EDV,Homo sapiens,"('Q96EP0', 'P62837')"
5EDV,Homo sapiens,"('Q96EP0', 'P0CG47')"
5EDV,Homo sapiens,"('P62837', 'P0CG47')"
5EU3,Homo sapiens,"('P04439', 'P61769')"
5EU3,Homo sapiens,"('P04439', 'P40967')"
5EU3,Homo sapiens,"('P61769', 'P40967')"
5EYA,Homo sapiens,"('P61088', 'Q14258')"
5EYA,Homo sapiens,"('P61088', 'P0CG47')"
5EYA,Homo sapiens,"('Q14258', 'P0CG47')"
5EZV,Homo sapiens,"('Q9Y478', 'P54619')"
5EZV,Homo sapiens,"('Q9Y478', 'Q13131, P54646')"
5EZV,Homo sapiens,"('P54619', 'Q13131, P54646')"
5F0J,Homo sapiens,"('Q96QK1', 'O75436')"
5F0J,Homo sapiens,"('Q96QK1', 'O60493')"
5F0J,Homo sapiens,"('O75436', 'O60493')"
5F6L,Homo sapiens,"('Q15291', 'Q9UBL3')"
5F6L,Homo sapiens,"('Q15291', 'Q03164')"
5F6L,Homo sapiens,"('Q9UBL3', 'Q03164')"
5FA5,Homo sapiens,"('Q9BQA1', 'P62805')"
5FA5,Homo sapiens,"('Q9BQA1', 'O14744')"
5FA5,Homo sapiens,"('P62805', 'O14744')"
5FFO,Homo sapiens,"('P06756', 'P18564')"
5FFO,Homo sapiens,"('P06756', 'P01137')"
